https://2020.pycon.org.au/program/sun/
ID   | Char | CharCount | URL
0    | 'Y'  | 467       | https://en.wikipedia.org/wiki/Julia_(programming_language) 
1    | 'o'  | 2967      | https://en.wikipedia.org/wiki/Java_(programming_language) 
2    | 'u'  | 85        | https://en.wikipedia.org/wiki/Category:Concurrent_programming_languages 
3    | 'r'  | 234       | https://en.wikipedia.org/wiki/Category:Procedural_programming_languages 
4    | ' '  | 109       | https://en.wikipedia.org/wiki/Category:Extensible_syntax_programming_languages 
5    | 'P'  | 23        | https://en.wikipedia.org/wiki/LINGO_(mathematical_modeling_language) 
6    | 'r'  | 193       | https://en.wikipedia.org/wiki/Jolie_(programming_language) 
7    | 'o'  | 404       | https://en.wikipedia.org/wiki/Elixir_(programming_language) 
8    | 'g'  | 8         | https://en.wikipedia.org/wiki/Category:Process_termination_functions 
9    | 'r'  | 87        | https://en.wikipedia.org/wiki/%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA 
10   | 'a'  | 142       | https://en.wikipedia.org/wiki/Category:Academic_programming_languages 
11   | 'm'  | 294       | https://en.wikipedia.org/wiki/Mesa_(programming_language)#Cedar 
12   | ' '  | 208       | https://en.wikipedia.org/wiki/Behavioral_Description_Language 
13   | 'm'  | 968       | https://en.wikipedia.org/wiki/AppleScript 
14   | 'u'  | 90        | https://en.wikipedia.org/wiki/Jolie_(programming_language) 
15   | 's'  | 48        | https://en.wikipedia.org/wiki/Category:Object-based_programming_languages 
16   | 't'  | 24        | https://en.wikipedia.org/wiki/Category:Low-level_programming_languages 

------

ID   | Char | CharCount | URL
0    | 'P'  | 370       | https://en.wikipedia.org/wiki/PureBasic 
1    | 'r'  | 2173      | https://en.wikipedia.org/wiki/Julia_(programming_language) 
2    | 'i'  | 118       | https://en.wikipedia.org/wiki/Category:Dynamically_typed_programming_languages 
3    | 'n'  | 105       | https://en.wikipedia.org/wiki/%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA 
4    | 't'  | 103       | https://en.wikipedia.org/wiki/Address_programming_language 
5    | ' '  | 82        | https://en.wikipedia.org/wiki/Category:Prototype-based_programming_languages 
6    | '"'  | 20        | https://en.wikipedia.org/wiki/Qore_(programming_language) 
7    | 'H'  | 10        | https://en.wikipedia.org/wiki/Category:Dependently_typed_languages 
8    | 'e'  | 63        | https://en.wikipedia.org/wiki/Category:Dependently_typed_languages 
9    | 'l'  | 991       | https://en.wikipedia.org/wiki/Smart_Pascal 
10   | 'l'  | 2147      | https://en.wikipedia.org/wiki/Programming_language 
11   | 'o'  | 95        | https://en.wikipedia.org/wiki/GLOBAL 
12   | ' '  | 83        | https://en.wikipedia.org/wiki/Category:Programming_languages_conferences 
13   | 'w'  | 4         | https://en.wikipedia.org/wiki/Category:Secure_programming_languages 
